study_hours,attendance_pct,prev_gpa,assignments_done,sleep_hours,internet_hours,family_support,part_time_job,extracurricular,parent_edu,gender,school_type,distance_km,quiz_avg,midterm_score,final_score,grade
4.4,70.6,3.56,63.3,7.1,2.9,3,0,1,Undergraduate,Female,Public,3.9,74.0,44.7,53.3,Pass
3.8,90.1,3.6,42.3,6.4,4.2,2,0,0,None,Male,Private,3.8,53.9,96.8,59.7,Pass
8.7,63.4,2.01,66.5,9.3,4.4,4,0,1,Undergraduate,Male,Public,9.3,68.8,30.4,47.0,Pass
5.0,85.1,2.19,85.0,9.1,3.8,3,0,1,Postgraduate,Male,Public,2.0,69.0,69.0,60.5,Pass
2.9,85.6,1.01,57.2,8.2,2.2,2,0,1,Undergraduate,Female,Public,20.0,100.0,50.0,29.5,Fail
6.6,93.9,2.43,46.5,6.5,0.0,1,0,0,Undergraduate,Female,Private,0.9,69.7,56.4,49.5,Pass
2.6,100.0,3.67,76.4,10.0,2.3,4,1,1,High School,Male,Public,1.2,52.8,71.7,67.3,Pass
5.4,83.9,3.36,92.3,4.7,2.5,3,0,0,Undergraduate,Male,Public,5.0,43.1,70.9,69.9,Pass
1.1,70.4,2.84,41.1,4.9,2.5,4,0,0,Undergraduate,Female,Public,1.5,60.9,51.1,28.1,Fail
2.3,77.6,2.98,91.4,6.9,3.9,3,0,0,Undergraduate,Female,Public,7.7,63.2,40.3,47.4,Pass
5.4,51.5,2.52,91.3,10.0,6.0,3,0,0,None,Male,Private,6.1,31.8,72.0,46.2,Pass
6.5,67.6,3.14,94.1,6.7,3.2,3,0,1,Undergraduate,Male,Public,15.4,54.3,70.8,69.1,Pass
5.3,71.9,3.54,99.4,6.7,2.7,4,1,1,Undergraduate,Male,Public,36.7,69.5,57.4,74.0,Distinction
4.8,70.1,1.87,100.0,4.8,2.6,3,0,0,High School,Female,Public,16.8,57.0,69.1,51.8,Pass
4.4,80.3,3.21,67.9,8.4,3.2,5,0,0,High School,Male,Public,2.4,79.5,54.9,62.7,Pass
2.0,65.7,3.65,77.2,8.4,1.8,5,0,0,High School,Male,Public,32.9,41.6,48.8,46.7,Pass
3.6,94.8,2.71,66.7,8.2,3.2,5,0,1,Undergraduate,Male,Public,6.0,75.2,62.1,60.9,Pass
4.1,78.0,3.49,75.0,6.1,3.7,5,0,1,Undergraduate,Female,Private,7.7,78.7,70.3,72.0,Distinction
7.1,77.9,4.0,100.0,5.9,3.3,3,1,1,Undergraduate,Female,Public,6.6,79.3,66.9,90.3,Distinction
5.7,73.1,2.93,48.1,5.1,3.7,4,0,1,High School,Female,Public,4.0,41.5,70.1,49.2,Pass
1.5,80.3,3.28,57.8,7.1,3.7,4,0,1,Postgraduate,Male,Public,27.1,69.7,49.8,45.3,Pass
5.6,90.4,2.48,100.0,5.4,0.3,4,0,1,Undergraduate,Female,Public,4.8,55.0,87.3,76.7,Distinction
4.2,65.0,3.13,95.4,5.2,4.0,5,0,0,High School,Female,Public,10.4,43.9,56.5,57.6,Pass
3.6,68.1,3.32,67.7,6.4,2.0,4,1,1,None,Female,Public,3.3,58.8,60.1,51.2,Pass
6.2,73.4,3.14,92.1,6.3,1.4,5,0,1,High School,Female,Public,19.2,51.4,40.9,63.1,Pass
7.1,57.8,2.29,81.8,6.2,1.3,3,0,1,Postgraduate,Female,Private,17.9,78.8,58.9,57.7,Pass
6.9,65.7,3.14,100.0,7.7,3.7,5,1,1,High School,Male,Public,4.2,72.7,70.5,79.8,Distinction
3.3,70.9,4.0,76.5,7.1,2.7,4,0,1,High School,Male,Private,13.7,47.7,74.2,63.6,Pass
4.4,91.1,3.31,95.5,6.6,0.5,4,1,1,High School,Male,Public,14.6,54.1,87.0,78.7,Distinction
5.7,81.9,3.67,100.0,7.3,3.7,3,0,1,Undergraduate,Male,Public,9.9,59.3,70.3,79.7,Distinction
7.0,80.9,2.83,87.0,5.5,0.8,4,0,0,High School,Male,Private,11.0,63.9,66.4,72.3,Distinction
4.0,90.8,3.52,76.0,7.2,3.2,5,1,0,High School,Female,Public,10.3,80.1,54.9,71.0,Distinction
4.6,75.9,3.2,89.4,7.2,3.4,3,1,1,High School,Female,Public,1.0,75.4,51.4,62.2,Pass
2.8,83.9,2.33,67.7,4.7,4.3,4,0,0,High School,Male,Private,13.3,65.8,77.5,50.8,Pass
2.6,76.5,3.22,100.0,8.5,5.7,3,1,1,High School,Female,Private,7.6,61.1,77.2,64.1,Pass
6.6,82.0,2.31,78.6,5.7,1.0,5,0,1,Undergraduate,Male,Private,6.9,38.4,44.8,53.2,Pass
7.7,69.3,2.56,69.5,7.1,2.9,3,0,1,Undergraduate,Male,Private,23.6,84.4,73.6,67.9,Pass
4.9,41.4,3.13,58.3,8.7,2.6,3,0,1,Undergraduate,Female,Private,0.5,58.3,72.4,44.6,Fail
7.0,76.0,3.21,96.9,8.4,3.7,3,0,0,Undergraduate,Male,Public,3.5,88.3,44.2,74.7,Distinction
5.7,99.3,2.17,92.3,7.1,3.3,4,1,1,High School,Female,Public,1.6,67.9,70.6,70.8,Distinction
3.7,91.9,3.74,65.1,6.5,2.5,2,0,1,Undergraduate,Male,Public,0.5,95.4,45.2,63.0,Pass
5.7,92.5,3.4,86.5,8.4,2.3,4,0,0,High School,Female,Public,3.9,74.1,23.1,65.5,Pass
8.1,96.5,2.51,44.8,8.0,1.3,5,1,0,High School,Female,Public,53.6,43.5,59.4,59.1,Pass
4.9,79.3,1.92,78.7,6.1,4.5,5,0,1,Postgraduate,Female,Private,3.8,55.8,66.1,54.1,Pass
8.1,81.0,2.9,84.1,5.8,3.7,2,0,1,Undergraduate,Female,Public,13.1,62.5,60.2,69.4,Pass
0.5,68.7,2.69,100.0,3.9,4.4,5,0,1,Undergraduate,Female,Private,1.5,51.9,100.0,59.3,Pass
6.6,73.3,3.08,59.6,7.2,2.5,4,0,0,Postgraduate,Female,Public,11.1,59.3,68.1,63.1,Pass
5.2,87.2,2.75,49.4,6.9,2.0,2,1,0,Postgraduate,Male,Public,50.0,44.5,64.4,46.4,Pass
4.4,96.1,1.59,57.1,8.7,1.4,1,0,0,Undergraduate,Male,Public,4.1,65.1,68.9,40.0,Fail
5.2,75.9,2.73,48.3,7.5,3.5,2,0,0,Undergraduate,Female,Public,22.6,68.6,54.9,43.7,Fail
1.0,71.2,2.79,100.0,9.0,1.4,5,1,1,Undergraduate,Female,Public,60.0,49.9,76.9,54.9,Pass
4.6,78.0,3.44,100.0,6.0,5.8,1,0,0,High School,Male,Private,10.7,94.1,67.8,73.9,Distinction
5.7,87.0,2.51,81.4,8.7,1.0,3,0,1,High School,Male,Public,4.4,66.0,67.0,62.7,Pass
8.0,56.3,4.0,99.4,6.2,3.4,4,1,1,Undergraduate,Male,Public,13.4,52.7,52.0,77.2,Distinction
4.0,43.6,1.66,77.7,8.2,5.4,4,0,1,High School,Male,Private,22.4,40.6,37.0,18.6,Fail
3.4,69.7,3.92,73.1,4.8,3.9,4,0,0,High School,Male,Public,2.3,65.9,54.0,59.0,Pass
4.0,59.7,2.84,68.3,7.4,3.3,4,0,1,High School,Female,Public,7.2,61.1,66.5,48.1,Pass
6.8,70.4,3.6,68.8,4.0,1.5,2,0,0,High School,Male,Public,4.6,76.7,54.9,64.9,Pass
5.7,75.8,3.06,44.0,6.6,0.9,5,0,0,Postgraduate,Male,Public,4.0,62.8,66.7,58.0,Pass
3.9,71.2,3.8,80.3,7.7,4.2,3,0,0,Undergraduate,Male,Private,23.7,47.1,58.3,58.0,Pass
6.0,99.8,2.73,74.2,6.2,5.3,4,1,1,Undergraduate,Female,Private,6.6,90.1,68.9,77.1,Distinction
5.2,82.9,2.23,89.9,5.4,2.3,4,0,0,Postgraduate,Male,Private,5.0,71.5,46.4,58.0,Pass
6.9,82.5,3.99,76.9,8.3,1.3,2,0,0,Postgraduate,Male,Public,11.1,61.2,65.1,77.4,Distinction
3.6,87.3,2.92,71.7,6.8,0.0,5,1,0,Undergraduate,Female,Private,3.0,67.5,51.7,57.4,Pass
4.3,60.9,3.16,57.6,6.3,1.5,3,0,0,Postgraduate,Female,Public,3.1,72.1,37.4,41.8,Fail
4.2,93.6,3.86,76.4,7.1,2.8,2,1,0,High School,Male,Public,8.8,43.6,59.4,62.2,Pass
2.1,76.9,2.28,89.8,10.0,5.4,5,0,1,High School,Female,Public,6.3,67.4,86.6,58.3,Pass
5.6,88.1,3.42,52.1,8.7,4.0,4,0,1,High School,Male,Private,4.2,58.2,38.7,53.9,Pass
5.5,61.9,2.59,76.7,8.7,3.5,4,1,1,Undergraduate,Male,Private,0.7,72.6,63.9,56.6,Pass
5.0,54.7,2.91,79.7,7.7,2.4,4,0,1,Undergraduate,Female,Private,8.8,53.9,74.8,56.0,Pass
4.5,90.3,3.05,60.6,7.2,2.1,5,1,1,Undergraduate,Male,Private,20.4,55.9,98.8,72.0,Distinction
2.2,83.6,1.95,63.2,3.4,5.1,1,0,0,Undergraduate,Female,Public,22.9,89.9,54.1,34.8,Fail
4.2,64.5,2.45,79.6,6.0,3.3,3,0,1,None,Female,Public,3.2,83.5,51.9,47.2,Pass
4.3,65.0,3.95,52.3,6.3,0.0,3,0,1,None,Female,Private,11.0,15.6,43.3,36.0,Fail
3.4,94.9,3.62,82.0,4.2,2.0,2,0,0,Undergraduate,Female,Private,23.2,82.4,80.2,75.8,Distinction
4.7,60.2,2.96,57.1,5.3,1.7,4,1,1,High School,Male,Private,6.3,63.9,48.1,42.7,Fail
5.8,100.0,3.17,96.3,4.0,2.2,3,1,1,Undergraduate,Male,Public,32.3,54.4,56.1,73.6,Distinction
8.8,64.5,2.79,100.0,6.9,3.8,3,1,1,Undergraduate,Male,Private,28.0,49.9,32.4,60.7,Pass
5.3,87.6,3.95,57.8,8.2,2.8,1,0,1,Undergraduate,Female,Public,2.8,50.8,76.1,64.6,Pass
5.5,73.1,2.86,85.7,8.7,2.9,4,0,0,High School,Male,Private,3.6,54.8,80.5,66.7,Pass
4.9,87.0,3.16,60.5,7.6,5.0,5,1,1,Undergraduate,Female,Public,2.4,48.1,75.5,63.6,Pass
1.2,69.8,3.8,95.8,5.6,2.0,3,0,0,Undergraduate,Male,Private,2.6,44.7,36.3,45.1,Pass
4.9,75.6,2.46,49.7,4.1,5.8,4,1,1,Postgraduate,Female,Public,28.6,49.4,71.7,46.9,Pass
5.1,78.6,4.0,84.6,4.4,2.0,3,0,1,Undergraduate,Male,Private,32.1,69.9,35.2,66.0,Pass
9.9,63.0,1.93,57.5,5.1,3.1,4,0,1,Undergraduate,Male,Public,0.6,65.8,62.9,57.4,Pass
4.6,89.1,4.0,70.9,5.7,2.6,1,1,0,High School,Female,Public,10.8,73.3,65.3,68.3,Pass
5.6,70.3,2.74,54.4,6.8,3.2,3,1,0,Undergraduate,Male,Public,10.0,64.0,67.0,50.6,Pass
4.9,74.6,2.83,91.4,5.5,3.7,4,1,0,Postgraduate,Female,Private,5.9,45.4,70.6,62.9,Pass
2.7,63.1,1.68,58.3,7.5,3.7,5,0,0,High School,Female,Public,12.0,72.4,61.9,32.4,Fail
7.3,39.6,2.68,86.0,6.7,1.9,3,0,1,High School,Male,Public,35.3,49.9,30.6,40.3,Fail
6.5,75.1,2.27,68.1,7.0,1.3,4,0,1,High School,Male,Private,2.2,74.7,70.6,60.5,Pass
6.6,100.0,2.57,72.7,8.7,6.8,4,0,1,Undergraduate,Male,Private,1.5,47.5,63.6,65.5,Pass
3.2,89.8,2.9,78.0,5.2,2.3,5,0,1,High School,Female,Public,0.5,54.7,47.6,53.5,Pass
7.8,77.7,3.67,59.8,7.6,4.0,3,1,0,None,Female,Public,5.4,59.6,36.9,60.0,Pass
2.2,74.1,3.15,79.2,7.0,0.6,3,0,0,Postgraduate,Female,Public,4.9,75.1,86.6,62.5,Pass
6.2,78.3,3.22,100.0,6.5,2.6,5,0,0,Undergraduate,Female,Private,6.8,67.6,81.7,85.6,Distinction
9.4,86.2,2.23,59.4,8.3,2.8,1,0,1,High School,Female,Private,8.4,65.3,73.3,62.4,Pass
3.0,60.3,2.38,98.4,8.3,3.7,2,1,1,High School,Female,Private,17.0,93.3,51.2,47.5,Pass
3.9,94.7,4.0,100.0,5.6,0.0,2,0,1,High School,Female,Public,6.0,37.4,21.7,56.7,Pass
5.2,88.7,2.49,58.7,6.7,3.2,5,1,0,Undergraduate,Female,Private,4.8,49.4,74.2,57.7,Pass
4.0,88.8,4.0,45.9,7.4,1.3,1,1,0,High School,Female,Public,21.0,48.8,67.9,52.8,Pass
1.9,84.6,2.83,81.0,6.6,3.5,5,1,1,Undergraduate,Male,Public,22.7,38.4,56.0,47.1,Pass
5.1,78.3,3.0,64.1,7.9,1.4,3,1,0,Undergraduate,Female,Private,3.2,54.2,80.0,59.7,Pass
2.9,88.1,3.75,100.0,7.4,1.7,1,1,1,Undergraduate,Female,Public,4.5,75.3,75.6,73.3,Distinction
5.9,86.9,3.89,75.7,9.7,2.6,3,0,0,High School,Male,Public,20.9,56.1,64.8,73.2,Distinction
3.2,72.7,2.92,59.0,4.7,1.4,2,0,0,Undergraduate,Male,Private,1.0,60.0,62.6,41.7,Fail
8.1,69.4,2.73,52.1,6.8,2.3,4,0,1,Undergraduate,Female,Public,4.7,39.2,62.8,53.5,Pass
3.4,79.5,2.96,96.8,5.6,1.2,4,0,0,None,Male,Public,7.1,53.1,72.9,62.8,Pass
4.4,100.0,3.24,63.6,7.9,0.3,3,1,1,None,Male,Private,2.5,58.1,48.3,55.2,Pass
6.6,59.4,3.62,75.9,4.6,4.5,1,0,1,Undergraduate,Female,Private,2.4,74.6,68.8,65.4,Pass
2.5,56.0,3.0,94.1,7.5,1.1,4,1,0,Undergraduate,Female,Private,6.6,39.9,47.3,41.3,Fail
5.5,80.5,3.43,65.3,6.1,2.7,5,0,1,High School,Male,Public,16.9,58.2,83.4,72.4,Distinction
7.6,78.8,4.0,74.1,5.9,4.1,4,0,1,Undergraduate,Female,Public,22.0,81.3,70.5,87.9,Distinction
1.8,80.6,3.27,74.7,4.8,2.1,5,1,0,Undergraduate,Male,Public,46.5,58.3,51.0,51.0,Pass
5.4,81.7,3.22,88.7,6.3,1.8,3,0,1,Postgraduate,Female,Private,0.9,33.3,63.3,62.5,Pass
5.5,74.7,1.94,86.8,8.6,3.3,5,1,1,High School,Female,Public,2.9,84.2,48.3,56.5,Pass
6.6,100.0,1.16,70.6,7.0,4.7,3,1,0,Undergraduate,Male,Private,17.0,76.0,86.1,61.6,Pass
2.5,54.0,3.27,76.3,7.9,1.2,1,0,1,None,Male,Public,9.3,78.0,88.0,51.6,Pass
2.4,65.6,2.93,67.6,9.5,2.8,5,0,0,Undergraduate,Male,Public,4.8,38.8,73.1,45.0,Fail
6.0,76.5,2.64,45.4,7.4,0.4,5,0,1,Undergraduate,Male,Private,2.8,87.7,86.9,67.2,Pass
5.6,53.4,3.17,80.2,6.2,2.4,4,1,1,High School,Male,Private,4.0,53.4,64.4,56.4,Pass
5.5,75.4,2.96,100.0,7.7,3.1,3,0,0,Undergraduate,Female,Private,6.7,57.4,74.2,70.2,Distinction
5.7,100.0,3.79,57.3,6.2,1.7,3,0,0,None,Female,Private,2.3,54.5,81.6,74.0,Distinction
3.6,78.3,3.06,59.5,6.2,2.3,3,1,0,Undergraduate,Male,Private,40.0,79.2,61.9,53.3,Pass
5.5,81.5,2.48,57.6,4.7,0.9,5,0,0,High School,Male,Private,1.4,62.3,63.1,54.7,Pass
5.6,59.1,3.69,89.5,8.4,3.1,2,1,1,Undergraduate,Male,Private,50.9,72.2,76.9,71.3,Distinction
3.6,68.8,2.85,84.0,6.4,4.6,5,1,1,None,Female,Private,22.1,66.1,72.3,59.5,Pass
8.7,72.4,3.37,71.8,7.3,1.4,3,1,0,Undergraduate,Female,Private,6.6,63.6,49.9,69.0,Pass
5.9,73.2,2.67,56.6,5.4,2.1,5,1,1,Undergraduate,Male,Public,16.2,50.8,27.0,41.3,Fail
2.6,97.2,2.55,76.8,7.7,3.8,5,0,1,Undergraduate,Female,Public,13.4,92.2,59.2,63.2,Pass
6.3,86.4,3.06,43.7,5.9,4.8,3,1,1,High School,Female,Public,2.9,43.0,28.4,40.0,Fail
3.1,61.3,3.01,77.9,6.8,0.8,3,0,1,Undergraduate,Male,Public,5.0,71.2,46.1,44.3,Fail
6.6,81.7,3.34,92.4,8.3,2.7,5,0,1,None,Male,Public,8.6,70.6,48.0,75.1,Distinction
7.3,85.5,2.81,50.0,8.2,3.4,4,0,0,Undergraduate,Female,Public,12.2,82.3,52.9,63.1,Pass
3.4,95.1,1.71,44.3,7.0,2.8,4,1,0,Undergraduate,Female,Private,9.4,85.8,75.1,46.9,Pass
6.9,100.0,2.7,100.0,4.3,0.0,4,1,1,Undergraduate,Female,Private,7.7,62.9,78.6,85.5,Distinction
5.8,62.8,3.56,62.8,10.0,3.8,2,1,0,Undergraduate,Female,Public,7.0,73.0,70.1,61.0,Pass
6.6,65.8,2.79,97.7,9.6,5.3,5,0,1,None,Female,Public,8.3,91.5,72.1,79.0,Distinction
8.8,59.1,2.83,71.9,8.1,3.2,2,1,1,Undergraduate,Male,Private,6.8,64.0,72.5,64.2,Pass
4.5,74.5,3.69,71.8,5.9,1.5,5,1,1,High School,Female,Private,9.4,49.0,22.1,49.7,Pass
3.5,85.0,2.5,83.8,6.8,2.2,3,1,0,Postgraduate,Male,Private,26.3,59.2,62.2,53.5,Pass
3.2,92.8,1.92,57.3,6.2,5.7,4,0,0,Postgraduate,Male,Private,12.0,45.4,33.3,29.7,Fail
3.4,76.9,2.89,77.6,8.9,4.4,3,0,0,Undergraduate,Female,Private,15.4,70.6,70.1,56.7,Pass
4.8,73.2,2.66,67.4,7.4,4.0,3,0,0,Postgraduate,Male,Public,10.9,81.0,28.5,44.6,Fail
5.7,80.3,2.32,48.6,5.8,3.5,3,0,0,High School,Female,Public,12.4,63.2,59.1,44.4,Fail
5.6,65.5,2.88,81.7,6.3,2.0,4,0,1,Postgraduate,Male,Private,10.4,40.7,70.8,58.6,Pass
6.7,100.0,3.34,69.7,8.7,2.7,4,0,0,High School,Female,Public,0.5,80.3,44.1,73.4,Distinction
5.0,53.9,2.99,71.9,9.4,2.9,5,0,0,Undergraduate,Male,Private,60.0,38.4,77.4,53.9,Pass
7.9,80.8,3.21,50.8,9.3,3.8,3,0,0,Undergraduate,Female,Public,0.5,41.8,70.1,61.8,Pass
4.5,100.0,4.0,100.0,8.1,5.3,4,0,0,None,Female,Private,6.0,62.3,68.1,85.5,Distinction
10.4,78.1,2.76,92.5,6.6,4.7,4,1,0,High School,Male,Public,1.3,68.8,73.2,87.5,Distinction
6.3,75.1,3.19,94.3,3.0,0.9,2,0,0,None,Male,Public,1.2,71.3,56.3,67.1,Pass
3.3,72.6,2.64,68.9,7.4,3.3,3,0,1,Postgraduate,Male,Public,18.9,64.0,64.4,47.2,Pass
2.9,75.3,2.41,40.4,7.0,4.1,3,0,0,High School,Female,Private,6.7,91.4,62.2,38.7,Fail
6.0,98.6,2.59,100.0,7.2,3.9,3,0,1,Undergraduate,Male,Public,19.4,66.0,61.8,73.4,Distinction
4.6,44.8,2.66,73.8,7.1,2.1,3,1,1,Undergraduate,Male,Private,3.8,80.5,51.2,42.9,Fail
6.4,100.0,3.25,60.0,5.0,7.4,4,0,0,High School,Female,Private,3.6,76.8,42.1,66.7,Pass
5.9,56.6,4.0,83.3,7.8,1.1,3,0,1,Undergraduate,Female,Private,3.5,45.6,56.6,62.5,Pass
4.9,74.0,2.5,98.3,7.9,1.4,4,1,0,Undergraduate,Male,Private,11.5,62.5,55.7,59.5,Pass
3.3,71.6,2.71,74.5,8.0,3.4,5,0,0,High School,Male,Private,20.2,96.8,50.2,55.4,Pass
2.0,86.8,2.96,100.0,8.4,6.2,4,0,0,Undergraduate,Female,Public,7.2,57.4,75.6,64.0,Pass
4.1,54.0,3.28,96.7,7.9,1.7,4,0,0,High School,Female,Public,5.7,54.9,43.2,51.4,Pass
6.7,84.9,3.18,53.5,6.4,2.6,2,0,0,High School,Female,Private,43.6,67.6,59.3,59.0,Pass
5.4,100.0,3.9,61.5,6.9,4.6,5,1,0,Undergraduate,Male,Private,1.5,58.0,80.7,82.0,Distinction
2.5,57.6,1.3,94.2,7.1,3.0,3,0,1,High School,Male,Public,8.0,53.1,76.5,33.3,Fail
5.3,80.8,1.33,20.7,7.2,2.5,4,1,1,Postgraduate,Female,Private,6.3,57.8,81.5,33.8,Fail
5.8,68.1,2.65,72.0,8.5,3.8,5,1,0,Postgraduate,Female,Public,1.2,86.5,52.5,61.5,Pass
3.2,84.4,3.77,46.4,8.0,3.4,4,0,0,Undergraduate,Female,Public,3.7,63.0,74.5,59.8,Pass
5.3,78.3,1.9,65.5,10.0,4.5,4,0,0,High School,Male,Public,0.5,45.1,45.0,37.2,Fail
5.1,68.4,0.89,69.0,10.0,4.9,3,0,0,High School,Male,Public,25.1,42.3,57.6,24.8,Fail
2.7,85.3,3.4,67.8,7.1,3.5,2,0,1,High School,Male,Public,11.2,98.1,59.1,59.4,Pass
5.7,100.0,3.17,64.0,3.0,3.4,4,0,0,Undergraduate,Male,Public,20.2,61.6,52.8,65.6,Pass
6.1,75.1,2.24,53.1,8.9,3.3,1,0,0,Undergraduate,Female,Public,8.8,71.5,56.2,42.0,Fail
7.2,88.8,2.31,100.0,6.2,3.7,4,0,1,High School,Female,Public,11.0,53.4,54.1,67.8,Pass
7.1,58.6,2.32,100.0,5.8,3.1,1,1,1,High School,Male,Public,14.5,69.8,46.3,51.8,Pass
2.2,63.7,3.08,51.8,6.4,3.0,5,0,0,Undergraduate,Female,Public,28.6,86.9,75.7,52.2,Pass
3.1,85.1,2.56,100.0,6.3,4.8,2,1,1,None,Female,Public,1.2,55.2,59.1,51.4,Pass
6.0,100.0,3.35,67.0,7.9,5.3,4,1,0,Undergraduate,Male,Public,4.8,71.9,65.2,75.9,Distinction
6.0,83.3,1.0,77.6,4.7,0.7,4,0,0,Undergraduate,Female,Public,14.8,43.9,64.6,42.7,Fail
6.0,73.3,2.4,73.7,5.4,3.0,3,0,0,Undergraduate,Male,Public,38.1,95.3,62.9,62.1,Pass
12.0,78.0,2.21,61.8,7.5,2.0,3,0,0,High School,Male,Private,47.4,69.0,63.5,71.8,Distinction
6.1,59.2,2.82,94.7,7.9,2.5,3,0,1,Postgraduate,Male,Public,12.2,58.8,57.1,59.6,Pass
7.3,87.1,2.62,77.5,8.0,3.6,3,0,0,None,Female,Public,2.6,60.5,84.7,71.9,Distinction
6.9,91.2,3.56,65.5,5.8,4.0,3,0,0,Postgraduate,Male,Public,1.5,57.3,74.2,76.1,Distinction
6.3,71.2,1.7,48.9,5.5,2.8,3,0,0,High School,Female,Public,35.0,58.1,62.3,37.2,Fail
4.4,70.9,3.03,57.1,6.2,0.1,4,1,0,Postgraduate,Female,Private,6.8,28.3,54.8,41.6,Fail
6.5,82.0,3.39,42.2,7.4,1.6,3,0,1,Undergraduate,Male,Public,2.6,63.5,60.1,58.3,Pass
3.5,71.4,4.0,75.2,9.2,4.3,5,0,0,High School,Male,Public,32.6,62.9,68.7,67.8,Pass
4.5,77.0,2.66,51.1,3.9,0.0,4,0,0,Undergraduate,Male,Public,1.3,72.3,86.0,57.9,Pass
4.0,100.0,3.23,69.7,6.7,4.8,2,0,1,Undergraduate,Male,Public,15.7,57.2,40.0,52.4,Pass
5.2,74.3,1.74,100.0,5.0,3.8,3,0,0,None,Male,Public,11.8,53.4,72.6,52.7,Pass
9.6,72.6,1.33,99.0,4.5,5.0,5,1,0,High School,Female,Private,1.1,64.9,80.0,73.9,Distinction
1.3,68.3,3.59,74.4,8.5,2.7,1,0,0,Undergraduate,Female,Public,5.0,40.8,38.2,30.9,Fail
6.4,89.2,3.0,73.3,7.8,0.0,4,0,0,Undergraduate,Female,Public,1.9,67.2,59.1,69.2,Pass
1.8,75.3,3.82,100.0,7.7,3.6,4,0,0,Undergraduate,Male,Private,11.1,37.1,45.0,54.1,Pass
4.1,68.3,2.04,85.4,8.4,4.9,2,0,0,Undergraduate,Male,Private,7.8,81.8,68.9,49.9,Pass
